root_id,top_in/out_region,community_labels,predicted_nt_type,predicted_nt_confidence,verified_nt_type,verified_neuropeptide,body_part,function,flow,super_class,class,sub_class,hemilineage,nerve,soma_side,primary_cell_type,alternative_cell_type(s),cable_length_(nm),surface_area_(nm^2),volume_(nm^3),known_nt_simplified,top_nt,idx,sign
720575941561343277,T2_MESONM,soma in VNC,gaba,0.99,gaba,,,,intrinsic,ventral_nerve_cord_intrinsic,single_leg_neuromere,ventral_nerve_cord_ipsilateral_restricted,09A,,left,IN09A010,IN09A010,,,,gaba,gaba,70486,-1
720575941561346984,ME.LOP,"CNS neuron,T4 neuron,soma in brain",acetylcholine,0.99,acetylcholine,,,,intrinsic,optic_lobe_intrinsic,transverse_neuron,,,,right,T4b,T4b,,,,acetylcholine,acetylcholine,70487,1
720575941561349421,T1_PRONM,soma in VNC,glutamate,0.93,glutamate,,,,intrinsic,ventral_nerve_cord_intrinsic,,ventral_nerve_cord_ipsilateral_restricted,16B,,right,IN16B083,IN16B083,,,,glutamate,glutamate,70488,-1
720575941561351213,WTCT.HTCT,,acetylcholine,0.89,,,haltere,"mechanical_strain,proprioception",afferent,sensory_ascending,campaniform_sensillum_neuron,haltere_campaniform_sensillum_neuron,,left_dorsal_metathoracic_nerve,left,SApp12,SApp12,,,,,acetylcholine,70489,1
720575941561352493,ANM,soma in VNC,gaba,0.9,,,,,intrinsic,ventral_nerve_cord_intrinsic,,ventral_nerve_cord_bilateral_restricted,,,left,INXXX378,INXXX378,,,,,glutamate,70490,-1
720575941561352749,ANM,soma in VNC,acetylcholine,0.64,,,,,intrinsic,ventral_nerve_cord_intrinsic,,ventral_nerve_cord_bilateral_restricted,,,left,CV1041,CV1041,,,,,acetylcholine,70491,1
720575941561355944,ME.LO,"CNS neuron,soma in brain",acetylcholine,0.97,acetylcholine,,,,intrinsic,optic_lobe_intrinsic,transmedullary,,,,right,Tm9,Tm9,,,,acetylcholine,acetylcholine,70492,1
720575941561357357,T3_METANM,soma in VNC,acetylcholine,0.91,acetylcholine,,,,intrinsic,ventral_nerve_cord_intrinsic,single_leg_neuromere,ventral_nerve_cord_ipsilateral_restricted,03A,,left,IN03A075,IN03A075,,,,acetylcholine,acetylcholine,70493,1
720575941561359272,LO.LOP,"CNS neuron,T5 neuron,soma in brain",acetylcholine,0.99,acetylcholine,,,,intrinsic,optic_lobe_intrinsic,transverse_neuron,,,,right,T5b,T5b,,,,acetylcholine,acetylcholine,70494,1
720575941561359917,T1_PRONM,soma in VNC,acetylcholine,0.91,acetylcholine,,,,intrinsic,ventral_nerve_cord_intrinsic,,ventral_nerve_cord_ipsilateral_restricted,20A.22A,,right,IN20A.22A009,IN20A.22A009,,,,acetylcholine,acetylcholine,70495,1
720575941561365549,T1_PRONM,soma in VNC,glutamate,0.89,glutamate,,,,intrinsic,ventral_nerve_cord_intrinsic,,ventral_nerve_cord_ipsilateral_restricted,16B,,left,IN16B077,IN16B077,,,,glutamate,glutamate,70496,-1
720575941561365906,WTCT,soma in VNC,gaba,0.96,gaba,,,,intrinsic,ventral_nerve_cord_intrinsic,,ventral_nerve_cord_bilateral_interconnecting,00A,,left,IN00A032,IN00A032,,,,gaba,gaba,70497,-1
720575941561365928,ME,"CNS neuron,soma in brain",glutamate,0.45,glutamate,,,,intrinsic,optic_lobe_intrinsic,medulla_intrinsic,,,,right,Mi9,Mi9,,,,glutamate,glutamate,70498,-1
720575941561369901,LO.LOP,soma in brain,acetylcholine,0.91,,,,,,,,,,,left,,,,,,,gaba,70499,-1
