pre_root_id,post_root_id,syn_count
91880,46496,1
91880,592460,2
91880,82269,1
800398,807808,1
800398,946052,4
800398,908295,1
800398,809863,1
800398,41101,1
800398,804113,1
800398,808478,2
800398,908961,3
800398,909219,1
800398,936619,2
800398,806442,4
800398,810419,1
800398,805942,1
800398,806461,3
800398,801853,1
800398,12102,1
800398,907857,1
800398,904403,1
800398,804564,1
800398,908764,1
800398,810595,4
800398,807016,3
800398,818668,1
800398,801134,1
800398,813427,1
800398,805371,2
800398,803324,1
908011,905217,1
908011,908819,2
908011,801860,2
908011,808005,3
908011,907364,1
908011,809066,1
908011,805490,1
908011,803954,1
908011,806004,1
908011,806528,1
908011,807050,1
908011,811147,1
908011,801961,2
908011,800442,2
908011,811212,1
908011,808655,1
908011,905938,1
908011,801494,1
908011,800511,1
908011,801554,2
908011,812831,2
908011,810788,1
908011,805693,1
908011,801091,1
908011,802637,1
908011,801106,1
908011,809319,1
908011,904046,1
908011,810943,1
908011,801239,7
908011,811992,1
908011,809433,1
908011,800236,4
908011,800239,1
908011,805373,1
105247,90917,1
105247,80458,4
105247,25059,3
810136,804617,1
810136,807577,1
810136,800156,2
810136,802335,1
810136,10281,2
810136,800816,1
810136,816315,1
810136,803396,1
810136,809821,1
810136,10717,9
810359,805405,2
810359,24354,1
810359,805542,1
810359,806708,1
810359,815806,1
810359,803658,2
810359,809981,1
810359,19691,1
810359,190319,1
810359,803831,3
907998,18513,1
907998,41114,1
131036,59593,2
131036,62142,3
811340,804384,1
811340,812201,2
811340,804540,1
811340,819522,1
811340,805069,1
811340,907238,2
811340,810353,1
527055,29195,1
527055,41503,1
527055,128631,1
527055,123016,1
527055,531146,1
527055,518366,1
527055,34622,2
527055,527190,1
527055,57687,2
527055,45449,1
527055,44943,2
527055,531892,1
527055,30158,1
527055,50648,5
527055,514013,1
527055,54751,3
527055,105955,1
527055,543208,1
527055,82424,2
17322,14863,4
17322,912940,2
17322,10301,1
17322,523843,1
17322,800880,1
17322,35966,1
17322,809098,1
17322,11425,1
17322,908466,1
17322,10440,2
17322,17097,1
17322,21195,1
17322,11491,1
17322,11006,1
17322,12043,1
17322,809766,1
17322,256420,1
17322,806857,1
17322,555991,1
17322,807418,1
800948,804358,3
800948,802828,15
800948,801805,11
800948,806414,1
800948,805388,2
800948,808977,2
800948,804901,7
800948,940582,2
800948,805945,2
800948,807998,5
800948,803906,1
800948,800323,10
800948,800329,4
800948,804448,5
800948,802917,1
800948,803438,1
800948,800892,2
800948,807560,5
800948,810638,6
800948,804502,8
800948,903853,4
800948,800949,5
800948,804532,12
800948,909003,3
800948,907978,1
800948,803040,2
800948,808672,1
800948,807650,3
800948,800484,2
800948,805098,2
800948,929514,7
800948,803683,7
800948,802079,1
800948,808234,6
800948,804653,34
800948,906554,1
800948,803670,18
800948,808803,1
800948,806245,1
800948,806248,2
800948,804009,1
800948,809347,4
800948,801669,5
800948,804743,1
800948,800145,24
800948,803749,2
800948,801189,1
800948,903591,2
800948,909231,1
800948,801273,4
800948,909760,2
800948,806876,1
800948,803805,1
800948,809958,1
800948,805361,2
800948,808436,2
800948,804350,1
18775,549535,1
18775,85940,1
18775,112856,1
18775,114525,1
18775,73707,1
48881,42253,1
48881,17038,1
48881,39947,1
48881,533649,1
48881,48914,1
48881,519094,1
48881,124092,1
48881,580158,1
48881,16959,1
48881,12101,1
48881,517200,1
48881,514015,3
48881,21470,2
48881,15865,1
48881,512638,1
114220,39605,1
545658,42772,1
545658,24094,1
545658,13742,1
545658,189877,2
545658,29248,1
545658,66898,2
545658,33630,1
545658,78177,1
545658,915300,1
545658,43245,1
545658,11383,1
545658,53368,1
49508,105987,6
49508,34820,1
49508,134667,9
49508,114217,2
49508,68394,1
49508,138043,1
49508,59331,2
49508,137430,2
49508,133218,2
49508,66663,4
49508,24574,17
49508,113791,10
44558,162433,1
