pre_root_id,post_root_id,syn_count
85401,97995,1
85288,97995,1
82964,97995,1
84044,97995,1
87109,97995,1
86736,97995,1
107430,97995,1
112022,97995,1
112049,97995,1
101290,97995,1
127598,30844,3
82430,30844,15
71449,30844,1
79000,30844,2
83829,30844,12
78821,30844,10
68364,30844,2
71978,30844,1
89618,30844,6
66997,30844,2
67949,30844,9
57447,30844,7
60861,30844,2
82557,30844,4
74220,30844,6
80213,30844,4
59752,30844,5
69354,30844,5
10312,30844,4
76467,30844,4
61819,30844,4
73324,30844,1
27344,30844,3
54426,30844,3
47573,30844,3
56287,30844,2
94591,30844,2
98105,30844,2
44375,30844,2
49868,30844,2
61510,30844,2
83972,30844,2
64902,30844,2
91135,30844,2
56756,30844,1
62657,30844,1
63440,30844,1
61867,30844,1
76893,30844,1
29094,30844,1
71261,30844,1
75849,30844,1
75229,30844,1
44534,30844,1
57002,30844,1
60192,30844,1
38469,30844,1
55520,30844,1
55877,30844,1
118072,30844,1
116117,30844,1
91976,30844,1
89361,30844,1
84520,30844,1
98540,30844,1
105494,30844,1
93212,47615,5
91625,47615,10
81051,47615,3
82859,47615,10
84151,47615,7
68640,47615,6
123099,47615,2
77946,47615,2
43373,47615,1
43073,47615,1
131389,47615,1
128541,47615,1
116217,47615,1
104857,47615,1
544752,1014601488,2
520692,1014601488,3
525088,1014601488,3
521272,1014601488,4
118062,1014601488,2
532553,1014601488,1
93255,1014601488,1
529476,1014601488,2
512140,1014601488,2
548971,1014601488,1
543365,1014601488,1
524866,1014601488,1
539141,1014601488,1
50105,1014601488,1
129170,1014601488,1
168512,1014601488,1
159574,1014601488,1
188267,1014601488,1
179764,1014601488,1
145998,1014601488,1
147473,1014601488,1
87553,1014601488,1
106234,1014601488,1
98503,1014601488,1
105296,1014601488,1
129763,44906,4
76710,44906,1
540441,44906,14
524682,44906,2
73957,44906,6
87067,44906,3
72057,44906,9
84114,44906,1
541763,44906,3
63048,44906,1
70964,44906,1
114912,44906,3
137521,44906,5
150764,44906,6
84447,44906,5
58158,44906,4
65462,44906,1
102037,44906,1
516020,44906,3
37157,44906,1
529495,44906,4
167085,44906,4
168512,44906,3
24434,44906,3
85971,44906,3
129255,44906,1
532222,44906,2
37488,44906,2
102961,44906,2
514060,44906,2
543074,44906,2
549212,44906,2
28904,44906,2
513317,44906,1
532706,44906,1
526191,44906,1
545574,44906,1
523824,44906,1
33484,44906,1
76421,44906,1
42686,44906,1
44982,44906,1
51882,44906,1
52475,44906,1
137436,44906,1
134297,44906,1
125717,44906,1
172452,44906,1
84968,44906,1
26789,44906,1
12439,83659,6
41663,83659,2
36397,83659,5
77661,83659,3
22189,83659,3
95896,83659,3
40597,83659,3
55128,83659,2
22826,83659,2
22990,83659,2
15908,83659,2
18420,83659,2
16154,83659,2
20210,83659,2
29382,83659,2
34846,83659,2
27544,83659,2
16469,83659,1
