pre,post,plen,connected,effconn,effconn_e,effconn_ad,effconn_ad_e
JO-EVL,JO-EVL,5,True,0.0019832586403936,9.99620715447236e-06,0.0,0.0
JO-EDP,JO-EDP,1,True,0.0421210676431655,0.0421210676431655,0.0,0.0
JO-EDP,JO-EDP,2,True,0.0133310398086905,0.0022553279995918,0.0,0.0
JO-EDP,JO-EDP,3,True,0.0030873580835759,0.000183268712135,0.0,0.0
JO-EDP,JO-EDP,4,True,0.0014674712438136,1.864492332970258e-05,0.0,0.0
JO-EDP,JO-EDP,5,True,0.0008162164012901,2.654984655237058e-06,0.0,0.0
JO-EDC,JO-EDC,1,True,0.0450518988072872,0.0450518988072872,0.0,0.0
JO-EDC,JO-EDC,2,True,0.0199946165084838,0.0029046279378235,0.0,0.0
JO-EDC,JO-EDC,3,True,0.0034260267857462,0.000217327295104,0.0,0.0
JO-EDC,JO-EDC,4,True,0.0022621904499828,2.4344679331989028e-05,0.0,0.0
JO-EDC,JO-EDC,5,True,0.0012343749403953,3.912389729521237e-06,0.0,0.0
JO-CL,JO-CL,1,True,0.1023728996515274,0.1023728996515274,0.0,0.0
JO-CL,JO-CL,2,True,0.0147315161302685,0.0113499704748392,0.0,0.0
JO-CL,JO-CL,3,True,0.0022933385334908,0.0013069527922198,0.0,0.0
JO-CL,JO-CL,4,True,0.0004785791388712,0.0001560716191306,0.0,0.0
JO-CL,JO-CL,5,True,0.0001599512324901,1.990346208913252e-05,0.0,0.0
JO-EVM,JO-EVM,1,True,0.0633260980248451,0.0633260980248451,0.0,0.0
JO-EVM,JO-EVM,2,True,0.0619050823152065,0.0045305136591196,0.0,0.0
JO-EVM,JO-EVM,3,True,0.0108998948708176,0.00039846348227,0.0,0.0
JO-EVM,JO-EVM,4,True,0.0082788588479161,4.845491275773384e-05,0.0,0.0
JO-EVM,JO-EVM,5,True,0.0036828948650509,7.958861715451349e-06,0.0,0.0
JO-CM,JO-CM,1,True,0.0851457491517067,0.0851457491517067,0.0,0.0
JO-CM,JO-CM,2,True,0.010600883513689,0.0077440915629267,0.0,0.0
JO-CM,JO-CM,3,True,0.001764019834809,0.0007849317044019,0.0,0.0
JO-CM,JO-CM,4,True,0.0005391534650698,9.27480068639852e-05,0.0,0.0
JO-CM,JO-CM,5,True,0.0002681901969481,1.3450037840812e-05,0.0,0.0
LN-DN1,LN-DN1,1,False,0.0,0.0,0.0,0.0
LN-DN1,LN-DN1,2,True,0.0147821996361017,0.0147123662754893,0.0,0.0
LN-DN1,LN-DN1,3,True,0.0067710992880165,0.006674843840301,0.0,0.0
LN-DN1,LN-DN1,4,True,0.0068226126022636,0.0066788611002266,0.0,0.0
LN-DN1,LN-DN1,5,True,0.0042810165323317,0.0040858443826437,0.0,0.0
CB0616,CB0616,1,True,0.0067487861961126,0.0067487861961126,0.0027910685166716,0.0027910685166716
CB0616,CB0616,2,True,0.0020035514608025,0.0002971672511193,0.0004299645079299,2.2725034796167165e-06
CB0616,CB0616,3,True,0.0009835158707574,9.615298768039791e-05,9.723988478071988e-05,8.906090442906134e-07
CB0616,CB0616,4,True,0.0006966821383684,2.897758713515941e-05,9.705720731290056e-05,5.805372325085045e-07
CB0616,CB0616,5,True,0.0005620281444862,1.1683621778502127e-05,3.379672489245422e-05,1.8212271868378599e-07
CB0617,CB0617,1,True,0.0032386777456849,0.0032386777456849,0.0,0.0
CB0617,CB0617,2,True,0.0048414072953164,0.0044605638831853,7.094620377756655e-05,4.200085822958499e-05
CB0617,CB0617,3,True,0.0017615215620025,0.0013619413366541,0.0001422600616933,5.4794418247183785e-05
CB0617,CB0617,4,True,0.0008233072585426,0.0005479950923472,8.798632916295901e-05,6.555035270139342e-06
CB0617,CB0617,5,True,0.0004312650125939,0.0002311765274498,4.35140791523736e-05,1.981913101190002e-06
CB0921,CB0921,1,False,0.0,0.0,0.0,0.0
CB0921,CB0921,2,True,0.0091780880466103,0.001058347756043,0.0,0.0
CB0921,CB0921,3,True,0.0068612024188041,0.0001965831179404,0.0,0.0
CB0921,CB0921,4,True,0.0048163612373173,6.887626659590751e-05,0.0,0.0
CB0921,CB0921,5,True,0.0048915911465883,2.470969957357738e-05,0.0,0.0
CB0922,CB0922,1,False,0.0,0.0,0.0,0.0
CB0922,CB0922,2,True,0.0016031344421207,0.0005123168812133,0.0,0.0
CB0922,CB0922,3,True,0.0005882418481633,0.0001191291084978,0.0,0.0
CB0922,CB0922,4,True,0.0003474036930128,2.330995084776077e-05,0.0,0.0
CB0922,CB0922,5,True,0.000230464283959,6.415481493604602e-06,0.0,0.0
SLP412_b,SLP412_b,1,False,0.0,0.0,0.0,0.0
