bodyId,cell_type,side,idx
5813056012,PFNp_b,noside,21478
5813056020,SLP438,right,21479
5813056026,LHPV5j4,right,21480
5813056028,SLP438,right,21481
5813056041,SMP418,right,21482
5813056054,SMP050,right,21483
5813056057,SMP122,right,21484
5813056071,SMP331,right,21485
5813056072,VP1m_l2PN,right,21486
5813056083,SLP339,right,21487
5813056101,SMP381,right,21488
5813056110,KCab-m,right,21489
5813056120,KCg-m,right,21490
5813056121,KCg-m,right,21491
5813056183,KCg-d,right,21492
5813056234,KCab-m,right,21493
5813056243,SLP163,right,21494
5813056257,SIP062,right,21495
5813056261,CL361,right,21496
5813056278,LHPV6i3,right,21497
5813056280,LC10,noside,21498
5813056299,KCa'b'-m,right,21499
5813056300,KCa'b'-ap2,right,21500
5813056305,KCa'b'-m,right,21501
5813056307,KCa'b'-m,right,21502
5813056309,KCg-m,right,21503
5813056311,KCg-m,right,21504
5813056313,KCa'b'-ap2,right,21505
5813056321,AVLP343,right,21506
5813056323,WEDPN7A,right,21507
5813056327,KCa'b'-m,right,21508
5813056355,KCab-s,right,21509
5813056372,KCa'b'-m,right,21510
5813056383,KCg-m,right,21511
5813056386,LHAV2b5_b,right,21512
5813056390,KCa'b'-ap2,right,21513
5813056395,KCab-m,right,21514
5813056410,FB4R,left,21515
5813056414,KCg-m,right,21516
5813056423,IB011,left,21517
5813056439,LLPC2c,noside,21518
5813056441,AVLP451,right,21519
5813056453,LC9,noside,21520
5813056516,DNp16/17,right,21521
5813056532,MC66,noside,21522
5813056550,IB098,left,21523
5813056596,DC4_adPN,right,21524
5813056598,lLN2T_a,right,21525
5813056615,LLPC2a,noside,21526
5813056618,LLPC3,noside,21527
5813056622,AVLP299_c,right,21528
5813056637,SAD057,right,21529
5813056642,ORN_DM2,left,21530
5813056671,LC11,right,21531
5813056694,ORN_VA1d,noside,21532
5813056696,WEDPN8A,right,21533
5813056704,ORN_VA1v,noside,21534
5813056757,AVLP384,right,21535
5813056768,FB1E_b,left,21536
5813056797,ORN_VA3,noside,21537
5813056881,SMP374,left,21538
5813056887,SMP001,right,21539
5813056890,SLP235,right,21540
5813056896,SLP174,right,21541
5813056909,SLP410,right,21542
5813056917,LNd,right,21543
5813056920,SLP223,right,21544
5813056930,LHPV3a3_a,right,21545
5813056932,SMP389,left,21546
5813056934,PFNa,noside,21547
5813056944,SMP160,right,21548
5813056953,PEN_a(PEN1),noside,21549
5813056984,AVLP492,right,21550
5813057033,ATL037,left,21551
5813057045,FB2M,left,21552
5813057077,PLP182,right,21553
5813057105,IB092,left,21554
5813057148,SLP387,right,21555
5813057153,SLP249,right,21556
5813057162,SMP081,right,21557
5813057164,PI1_b,noside,21558
5813057169,FB6C_b,right,21559
5813057178,PVLP136,right,21560
5813057187,KCab-s,right,21561
5813057191,KCg-m,right,21562
5813057210,KCg-m,right,21563
5813057213,KCab-m,right,21564
5813057216,LHAV6g1,right,21565
5813057227,KCa'b'-m,right,21566
5813057239,KCa'b'-m,right,21567
5813057245,VES008,right,21568
5813057263,PS100,right,21569
5813057274,FB4Y,left,21570
5813057277,PS083,right,21571
5813057293,WED098,right,21572
5813057402,PS167,right,21573
5813057404,WED180,right,21574
5813057439,SLP454,right,21575
5813057461,AVLP563,left,21576
5813057464,FC2B,left,21577
5813057468,KCg-m,right,21578
5813057474,v2LN34D,right,21579
5813057481,SMP574,right,21580
5813057542,VM7d_adPN,left,21581
5813057546,ORN_VC5,noside,21582
5813057548,AVLP341,right,21583
5813057556,AVLP377,right,21584
5813057573,KCab-c,right,21585
5813057579,AVLP538,right,21586
5813057594,ORN_VC5,noside,21587
5813057606,aMe14b,right,21588
5813057615,mALC6,left,21589
5813057660,LHAV3b8_b,right,21590
5813057662,LHAV3b6_b,right,21591
5813057675,PLP252,right,21592
5813057723,PS019,right,21593
5813057738,FB5X,left,21594
5813057757,AVLP483,right,21595
5813057769,PS265,right,21596
5813057774,AOTU042,left,21597
5813057853,AVLP164,right,21598
5813057854,PVLP007,right,21599
5813057859,SMP205,left,21600
5813057861,SMP456,right,21601
5813057864,vpoDN,right,21602
5813057867,KCa'b'-ap1,right,21603
5813057869,KCg-m,right,21604
5813057881,LHPD4d2_b,right,21605
5813057923,LHAV2a5_a,right,21606
5813057933,SMP378,right,21607
5813057942,KCa'b'-m,right,21608
5813057947,PAM08_a,left,21609
5813057956,KCg-m,right,21610
5813057959,KCg-d,right,21611
5813057963,FB3B,right,21612
5813057973,SMP388,right,21613
5813058008,SIP021,right,21614
5813058028,LHPV4c1_c,right,21615
5813058047,SIP003_b,right,21616
5813058048,MBON29,right,21617
5813058050,PPL102,right,21618
5813058069,KCab-m,right,21619
5813058085,ATL023,right,21620
5813058104,AVLP238,right,21621
5813058106,KCab-m,right,21622
5813058137,LHAV4a1_c,right,21623
5813058163,KCa'b'-ap2,right,21624
5813058195,FB2I_a,left,21625
5813058215,KCa'b'-ap2,right,21626
5813058222,SMP546,right,21627
5813058224,IB029,right,21628
5813058229,SMP461,right,21629
5813058258,AVLP473,left,21630
5813058272,SIP024,right,21631
5813058307,LC10,noside,21632
5813058310,SMP212,right,21633
5813058316,CRE043_b,left,21634
5813058319,CRE012,right,21635
5813058320,CRE005,right,21636
5813058333,FB2K,right,21637
5813058336,CL107,right,21638
5813058338,FB8D,left,21639
5813058342,PS002,right,21640
5813058350,AVLP496,right,21641
5813058367,FB6I,left,21642
5813058368,FB7A,left,21643
5813058388,FC2B,right,21644
5813058389,P6-8P9,right,21645
5813058410,AVLP141,right,21646
5813058416,PVLP004,right,21647
5813058422,FB4N,left,21648
5813058431,aMe12,right,21649
5813058439,PLP188,right,21650
5813058442,FB5N,left,21651
5813058452,CRE106,left,21652
5813058518,FC2C,right,21653
5813059834,PEG,noside,21654
5813059835,ER1_a,left,21655
5813059846,PS121,left,21656
5813059875,FS2,right,21657
5813059915,AVLP591,right,21658
5813059951,KCa'b'-ap2,right,21659
5813059997,IB103,left,21660
5813060068,PPM1205,right,21661
5813060163,LC17,noside,21662
5813060170,ORN_DM1,left,21663
5813060176,AVLP377,right,21664
5813060340,LC21,right,21665
5813060361,ORN_VM5d,noside,21666
5813060453,SAD040,right,21667
5813060614,KCab-s,right,21668
5813060643,KCab-p,right,21669
5813060663,KCg-m,right,21670
5813060697,SMP117_a,right,21671
5813060701,FB5AA,right,21672
5813060726,ExR5,right,21673
5813060766,SLP326,right,21674
5813060768,SMP600,right,21675
5813060774,KCa'b'-ap2,right,21676
5813060776,KCa'b'-ap2,right,21677
5813060781,PLP001,right,21678
5813060787,FB2B_a,right,21679
5813060798,KCg-m,right,21680
5813060799,KCg-m,right,21681
5813060811,KCg-m,right,21682
5813060812,KCg-m,right,21683
5813060817,PAM12,left,21684
5813060834,LC9,noside,21685
5813060840,LC28b,noside,21686
5813060890,ORN_DM5,noside,21687
5813060908,LLPC3,noside,21688
5813060982,PS215,right,21689
5813060993,SMP134,left,21690
5813061016,PLP065,right,21691
5813061024,VES067,right,21692
5813061044,KCab-c,right,21693
5813061049,PS034,right,21694
5813061110,WED092,right,21695
5813061112,PLP244,right,21696
5813061114,ATL037,right,21697
5813061116,FB2H_b,left,21698
5813061126,PVLP070,right,21699
5813061127,CL061,right,21700
5813061177,FB6A,left,21701
5813061197,LC4,noside,21702
5813061200,WED181,right,21703
