pre,post,plen,threshold_0,threshold_0.001,threshold_0.01,threshold_0.03,threshold_0.05,threshold_0.1
AN_GNG_125,LHAV7a1b,2,False,False,False,False,False,False
AN_GNG_125,LHAV7a1b,3,False,False,False,False,False,False
AN_GNG_125,LHAV7a1b,4,False,False,False,False,False,False
AN_GNG_125,LHAV7a1b,5,False,False,False,False,False,False
AN_GNG_125,SLP444,2,False,False,False,False,False,False
AN_GNG_125,SLP444,3,False,False,False,False,False,False
AN_GNG_125,SLP444,4,False,False,False,False,False,False
AN_GNG_125,SLP444,5,False,False,False,False,False,False
AN_GNG_125,AVLP283,2,False,False,False,False,False,False
AN_GNG_125,AVLP283,3,False,False,False,False,False,False
AN_GNG_125,AVLP283,4,False,False,False,False,False,False
AN_GNG_125,AVLP283,5,False,False,False,False,False,False
AN_GNG_125,LPsP,2,False,False,False,False,False,False
AN_GNG_125,LPsP,3,False,False,False,False,False,False
AN_GNG_125,LPsP,4,False,False,False,False,False,False
AN_GNG_125,LPsP,5,False,False,False,False,False,False
AN_GNG_125,PS010,2,False,False,False,False,False,False
AN_GNG_125,PS010,3,False,False,False,False,False,False
AN_GNG_125,PS010,4,False,False,False,False,False,False
AN_GNG_125,PS010,5,False,False,False,False,False,False
AN_GNG_125,CB3283,2,False,False,False,False,False,False
AN_GNG_125,CB3283,3,False,False,False,False,False,False
AN_GNG_125,CB3283,4,False,False,False,False,False,False
AN_GNG_125,CB3283,5,False,False,False,False,False,False
AN_GNG_125,CL256,2,False,False,False,False,False,False
AN_GNG_125,CL256,3,False,False,False,False,False,False
AN_GNG_125,CL256,4,False,False,False,False,False,False
AN_GNG_125,CL256,5,False,False,False,False,False,False
AN_GNG_125,DNge082,2,False,False,False,False,False,False
AN_GNG_125,DNge082,3,False,False,False,False,False,False
AN_GNG_125,DNge082,4,False,False,False,False,False,False
AN_GNG_125,DNge082,5,False,False,False,False,False,False
AN_GNG_125,DNge120,2,False,False,False,False,False,False
AN_GNG_125,DNge120,3,False,False,False,False,False,False
