,root_id,cell_type,side,top_nt,super_class,cell_class,cell_sub_class,ito_lee_hemilineage,hartenstein_hemilineage,idx,sign,coords
4199,720575940613676202,CB1841,left,acetylcholine,central,,,AOTUv4_dorsal,DALcl2_dorsal,18222,1,
4200,720575940630740266,MTe51,left,acetylcholine,visual_projection,,,,,100630,1,
4201,720575940618534977,SIP089,left,gaba,central,,,DL1_ventral,CP2_ventral,35638,-1,
4202,720575940634660833,CB1842,right,acetylcholine,central,,,DL1_ventral,CP2_ventral,116131,1,
4203,720575940620333958,KCab-p,right,acetylcholine,central,Kenyon_Cell,,MBp1,MBp1,43124,1,
4204,720575940614316497,CB1318,left,glutamate,central,,,SLPav2,BLD2,20055,-1,
4205,720575940624188365,"SMP061,SMP062",left,glutamate,central,,,SMPad2,DAMd2_or_3,65175,-1,
4206,720575940630251807,CB1055,right,gaba,central,,,WEDd2,BAmd2,98041,-1,
4207,720575940640158939,KCg-d,left,acetylcholine,central,Kenyon_Cell,,MBp2,MBp2,129178,1,
4208,720575940617922097,LC9,right,acetylcholine,visual_projection,,,VPNd3,,32908,1,
4209,720575940642412941,CB1542,right,acetylcholine,central,,,ALl1_ventral,BAlc_ventral,132015,1,
4210,720575940620232640,720575940620232640,left,acetylcholine,central,,,VLPl&p2_lateral,BLVp1_anterior,42666,1,
4211,720575940617456614,KCg-m,left,acetylcholine,central,Kenyon_Cell,,MBp3,MBp3,31033,1,
4212,720575940635640312,DNp62,left,serotonin,descending,,,putative_primary,putative_primary,118817,1,
4213,720575940618904229,KCg-d,left,acetylcholine,central,Kenyon_Cell,,MBp2,MBp2,37159,1,
4214,720575940621776161,M_l2PNm15,right,acetylcholine,central,ALPN,multiglomerular,ALl1_ventral,BAlc_ventral,51433,1,
4215,720575940635489272,KCab,left,acetylcholine,central,Kenyon_Cell,,MBp2,MBp2,118370,1,
4216,720575940626469909,PEN_a(PEN1),left,acetylcholine,central,CX,,DM3_CX_v,DPMpm2_CX_v,76902,1,
4217,720575940639409315,KCg-m,right,acetylcholine,central,Kenyon_Cell,,MBp3,MBp3,127471,1,
4218,720575940636991856,KCapbp-ap2,right,acetylcholine,central,Kenyon_Cell,,MBp1,MBp1,121949,1,
