,root_id,cell_type,side,top_nt,super_class,cell_class,cell_sub_class,idx,sign
79132,720575940646151715,T3,right,acetylcholine,optic,ME>LO,,47112,1
79133,720575940629825274,L4,right,acetylcholine,optic,LA>ME,L1-5,33087,1
79134,720575940606089900,C2,right,gaba,optic,ME>LA,,909,-1
79135,720575940635469503,Tm8,right,acetylcholine,optic,ME>LO,,41028,1
79137,720575940631718028,Mi1,right,acetylcholine,optic,ME,columnar,36497,1
79138,720575940629764943,Lawf2,right,acetylcholine,optic,ME>LA,,32989,1
79139,720575940624938940,T4a,right,acetylcholine,optic,ME>LOP,,23975,1
79141,720575940611049314,Dm3,right,glutamate,optic,ME,,3509,-1
79142,720575940620042712,L4,right,acetylcholine,optic,LA>ME,L1-5,14294,1
79143,720575940616859963,L5,right,acetylcholine,optic,LA>ME,L1-5,9814,1
79145,720575940639251645,720575940639251645,right,acetylcholine,optic,ME>LO,,44108,1
79146,720575940617301177,T5b,right,acetylcholine,optic,LO>LOP,,10409,1
79147,720575940638640361,Tm5c,right,glutamate,optic,ME>LO,,43595,-1
79148,720575940626388738,T2,right,acetylcholine,optic,ME>LO,,26323,1
79149,720575940644317476,C2,right,gaba,optic,ME>LA,,46439,-1
79150,720575940635590767,C2,right,gaba,optic,ME>LA,,41138,-1
79151,720575940644600343,T4a,right,acetylcholine,optic,ME>LOP,,46546,1
79152,720575940612753557,L1,right,glutamate,optic,LA>ME,L1-5,5094,-1
79153,720575940644067232,L3,right,acetylcholine,optic,LA>ME,L1-5,46368,1
79154,720575940610195246,L5,right,acetylcholine,optic,LA>ME,L1-5,2976,1
79155,720575940631154140,Tm16,right,acetylcholine,optic,ME>LO,,35535,1
79156,720575940614166690,Tm20,right,acetylcholine,optic,ME>LO,,6615,1
79158,720575940625581605,Mi1,right,acetylcholine,optic,ME,columnar,25006,1
79159,720575940619132632,C2,right,gaba,optic,ME>LA,,13048,-1
79161,720575940606723164,L3,right,acetylcholine,optic,LA>ME,L1-5,1253,1
79162,720575940625813054,Mi1,right,acetylcholine,optic,ME,columnar,25368,1
79163,720575940627043627,Tm1,right,acetylcholine,optic,ME>LO,,27643,1
79164,720575940643683232,T2,right,acetylcholine,optic,ME>LO,,46246,1
79165,720575940617034589,T2a,right,acetylcholine,optic,ME>LO,,10063,1
79166,720575940621701825,TmY18,right,acetylcholine,optic,ME>LO.LOP,,17626,1
