,root_id,cell_type,side,top_nt,super_class,cell_class,cell_sub_class,idx,sign
131626,720575940620517592,R1-6,left,acetylcholine,sensory,visual,,14969,1
131627,720575940625104648,R1-6,left,acetylcholine,sensory,visual,,24513,1
131628,720575940645718039,R1-6,left,acetylcholine,sensory,visual,,47587,1
131629,720575940621485227,R1-6,left,acetylcholine,sensory,visual,,16995,1
131630,720575940645609764,R1-6,left,acetylcholine,sensory,visual,,47529,1
131631,720575940634984860,R1-6,left,acetylcholine,sensory,visual,,41063,1
131632,720575940646190446,R1-6,left,acetylcholine,sensory,visual,,47739,1
131633,720575940609449739,R1-6,left,acetylcholine,sensory,visual,,2481,1
131635,720575940619249989,R1-6,left,acetylcholine,sensory,visual,,13238,1
131636,720575940627191614,R1-6,left,acetylcholine,sensory,visual,,28272,1
131638,720575940643022477,R1-6,left,acetylcholine,sensory,visual,,46732,1
131639,720575940626747578,R1-6,left,acetylcholine,sensory,visual,,27332,1
131647,720575940640249166,R1-6,left,acetylcholine,sensory,visual,,45529,1
131650,720575940643046541,R1-6,left,acetylcholine,sensory,visual,,46736,1
131652,720575940631051228,R1-6,left,acetylcholine,sensory,visual,,35777,1
131653,720575940609451531,R1-6,left,acetylcholine,sensory,visual,,2483,1
131654,720575940631050972,R1-6,left,acetylcholine,sensory,visual,,35776,1
131655,720575940635930010,R1-6,left,acetylcholine,sensory,visual,,42082,1
131656,720575940630956032,R1-6,left,acetylcholine,sensory,visual,,35574,1
131657,720575940623288022,R1-6,left,acetylcholine,sensory,visual,,20720,1
131665,720575940622660223,R1-6,left,acetylcholine,sensory,visual,,19453,1
131666,720575940625675708,R1-6,left,acetylcholine,sensory,visual,,25501,1
131667,720575940618236561,R1-6,left,acetylcholine,sensory,visual,,11716,1
