,hemilineage,class,predicted_nt,soma_neuromere,root_side,systematic_type,type,soma_side,instance,combined_type,nt_binary,idx
1091,,sensory neuron,glutamate,,RHS,SNta39,SNta39,,SNta39_MetaLN_R,SNta39_MetaLN_R,-1,11487
1092,TBD,motor neuron,gaba,A2,,MNad27,MNad27,RHS,MNad27_AbN3_R,MNad27_AbN3_R,-1,10525
1093,12A,intrinsic neuron,acetylcholine,T1,,IN12A028,TN1a,LHS,IN12A028_T1_L,IN12A028_T1_L,1,5860
1095,03A,intrinsic neuron,acetylcholine,T2,,IN03A043,IN03A043,RHS,IN03A043_T2_R,IN03A043_T2_R,1,3454
1096,03A,intrinsic neuron,acetylcholine,T1,,IN03A051,IN03A051,RHS,IN03A051_T1_R,IN03A051_T1_R,1,3472
1097,14A,intrinsic neuron,glutamate,T2,,IN14A059,IN14A059,LHS,IN14A059_T2_L,IN14A059_T2_L,-1,7073
1099,00A,ascending neuron,glutamate,T3,BIL,AN00A006,AN00A006,Midline,AN00A006_T3_M,AN00A006_T3_M,-1,9
1101,02A,intrinsic neuron,acetylcholine,T2,,IN02A015,IN02A015,LHS,IN02A015_T2_L,IN02A015_T2_L,1,3169
1103,04B,intrinsic neuron,acetylcholine,T3,,IN04B083,IN04B083,LHS,IN04B083_T3_L,IN04B083_T3_L,1,3963
1106,06A,intrinsic neuron,gaba,T2,,IN06A044,IN06A044,LHS,IN06A044_T2_L,IN06A044_T2_L,-1,4265
1107,06B,intrinsic neuron,glutamate,T3,,IN06B035,IN06B035,LHS,IN06B035_T3_L,IN06B035_T3_L,-1,4546
1108,09A,intrinsic neuron,glutamate,T1,,IN09A027,IN09A027,RHS,IN09A027_T1_R,IN09A027_T1_R,-1,5188
1109,01B,intrinsic neuron,gaba,T3,,IN01B065,IN01B065,RHS,IN01B065_T3_R,IN01B065_T3_R,-1,3054
1110,,sensory neuron,acetylcholine,,LHS,SNta21,SNta21,,SNta21_MesoLN_L,SNta21_MesoLN_L,1,11393
1111,02A,intrinsic neuron,glutamate,T3,,IN02A066,IN02A066,RHS,IN02A066_T3_R,IN02A066_T3_R,-1,3318
1112,TBD,intrinsic neuron,acetylcholine,A8,,INXXX052,INXXX052,LHS,INXXX052_A8_L,INXXX052_A8_L,1,9569
1113,19A,intrinsic neuron,gaba,T2,,IN19A085,IN19A085,RHS,IN19A085_T2_R,IN19A085_T2_R,-1,8198
1114,,sensory neuron,glutamate,,LHS,SNta39,SNta39,,SNta39_MetaLN_L,SNta39_MetaLN_L,-1,11486
1115,05B,ascending neuron,,T1,RHS,AN05B101,AN05B101,RHS,AN05B101_T1_R,AN05B101_T1_R,-1,244
1116,14A,intrinsic neuron,glutamate,T2,,IN14A086,IN14A086,RHS,IN14A086_T2_R,IN14A086_T2_R,-1,7144
1117,,sensory neuron,acetylcholine,,RHS,SNta18,SNta18,,SNta18_ADMN_R,SNta18_ADMN_R,1,11380
1118,01B,intrinsic neuron,gaba,T3,,IN01B077,IN01B077,LHS,IN01B077_T3_L,IN01B077_T3_L,-1,3074
