bodyId,cell_type,side,idx,nt,sign
102327,T4c,right,32801,acetylcholine,1
102329,T4d,right,32802,acetylcholine,1
102333,Dm8a,right,32803,glutamate,-1
102338,T5c,right,32804,acetylcholine,1
102343,C2,right,32805,gaba,-1
102345,Tm9,right,32806,acetylcholine,1
102347,Tm5c,right,32807,glutamate,-1
102350,Tm12,right,32808,acetylcholine,1
102353,Mi9,right,32809,glutamate,-1
102356,Tm12,right,32810,acetylcholine,1
102362,Mi9,right,32811,glutamate,-1
102363,L5,right,32812,acetylcholine,1
102364,L4,right,32813,acetylcholine,1
102370,T4c,right,32814,acetylcholine,1
102371,Tm1,right,32815,acetylcholine,1
102373,Tm3,right,32816,acetylcholine,1
102374,T4c,right,32817,acetylcholine,1
102375,Mi2,right,32818,glutamate,-1
102376,Tm12,right,32819,acetylcholine,1
102378,L5,right,32820,acetylcholine,1
102380,Mi4,right,32821,gaba,-1
102383,Tm9,right,32822,acetylcholine,1
102385,L4,right,32823,acetylcholine,1
102388,T4d,right,32824,acetylcholine,1
102389,Tm1,right,32825,acetylcholine,1
102390,Tm3,right,32826,acetylcholine,1
102391,Tm5Y,right,32827,acetylcholine,1
102401,T2,right,32828,acetylcholine,1
102407,L4,right,32829,acetylcholine,1
102409,T4c,right,32830,acetylcholine,1
102411,C2,right,32831,gaba,-1
102412,Cm7,right,32832,glutamate,-1
102414,C2,right,32833,gaba,-1
102418,T4d,right,32834,acetylcholine,1
102420,T2,right,32835,acetylcholine,1
102421,Tm9,right,32836,acetylcholine,1
102423,L5,right,32837,acetylcholine,1
102424,T4d,right,32838,acetylcholine,1
102425,T4b,right,32839,acetylcholine,1
102427,TmY18,right,32840,acetylcholine,1
102428,T5d,right,32841,acetylcholine,1
102429,Tm3,right,32842,acetylcholine,1
102433,T1,right,32843,unclear,1
102435,T5b,right,32844,acetylcholine,1
102441,C2,right,32845,gaba,-1
102442,Tm5Y,right,32846,acetylcholine,1
102443,Mi4,right,32847,gaba,-1
102444,TmY18,right,32848,acetylcholine,1
102445,Dm-DRA2,right,32849,glutamate,-1
102446,L5,right,32850,acetylcholine,1
102447,LC10b,right,32851,acetylcholine,1
102448,T4d,right,32852,acetylcholine,1
102449,TmY10,right,32853,acetylcholine,1
102450,L4,right,32854,acetylcholine,1
102451,Tm6,right,32855,acetylcholine,1
102456,C2,right,32856,gaba,-1
102461,T3,right,32857,acetylcholine,1
102462,T4c,right,32858,acetylcholine,1
102463,Tm6,right,32859,acetylcholine,1
102465,T3,right,32860,acetylcholine,1
102470,Dm16,right,32861,glutamate,-1
102476,Tm6,right,32862,acetylcholine,1
102478,Tm5c,right,32863,glutamate,-1
102479,T4c,right,32864,acetylcholine,1
102481,T4a,right,32865,acetylcholine,1
102483,Tm6,right,32866,acetylcholine,1
102484,TmY18,right,32867,acetylcholine,1
102486,T4a,right,32868,acetylcholine,1
102490,T2a,right,32869,acetylcholine,1
102494,L5,right,32870,acetylcholine,1
102495,T4b,right,32871,acetylcholine,1
102498,T5b,right,32872,acetylcholine,1
102499,T5d,right,32873,acetylcholine,1
102501,Mi13,right,32874,glutamate,-1
102502,T4c,right,32875,acetylcholine,1
102504,Cm9,right,32876,glutamate,-1
102506,T5a,right,32877,acetylcholine,1
102511,T4d,right,32878,acetylcholine,1
102513,Tm3,right,32879,acetylcholine,1
102514,T4a,right,32880,acetylcholine,1
102516,Tm34,right,32881,glutamate,-1
102519,T4a,right,32882,acetylcholine,1
102522,R1-R6,right,32883,histamine,1
102524,T4c,right,32884,acetylcholine,1
102525,L5,right,32885,acetylcholine,1
102526,L5,right,32886,acetylcholine,1
102529,Tm6,right,32887,acetylcholine,1
102530,C2,right,32888,gaba,-1
102531,Dm10,right,32889,gaba,-1
102534,TmY9b,right,32890,acetylcholine,1
102535,L3,right,32891,acetylcholine,1
102536,L3,right,32892,acetylcholine,1
102538,T4b,right,32893,acetylcholine,1
102540,T4b,right,32894,acetylcholine,1
102542,Mi9,right,32895,glutamate,-1
